average_rating,price,title
4.5,19.99,"Digi-Tatoo Decal Skin Compatible With MacBook Pro 13 inch (Model A2338/ A2289/ A2251) - Protective and Decorative Full Body Laptop Skin Decal Sticker, Anti-Scratch Vinly Skin Sticker Wrap [Fresh Marble]"
4.5,9.99,NotoCity Compatible with Vivoactive 4 band 22mm Quick Release Silicone Bands/Garmin Darth Vader/First Avenger/Polar Vantage Smartwatch Sport Breathable Strap Replacement for Gear S3 Classic Watchband
4.7,8.98,"Novelty Cute Cartoon USB 2.0 Flash Drive Data Storage Memory Stick Cartoon USB Stick Pendrive Gift (16GB, Camera Black)"
5.0,909.99,"ANNKE 4K 16CH Security DVR Recorder with Human & Vehicle Detection and (16) 8MP Outdoor Bullet Cameras with IP67 Weatherproof, 100ft Night Vision with EXIR, Email Alert, NO Hard Drive"
5.0,98.49,BIPRA U3 2.5 inch USB 3.0 NTFS Portable External Hard Drive - White (250GB)
4.5,3.99,"Outer Space Planets Stickers(50Pcs),Planetary Systems Waterproof Vinyl Water Bottle Stickers for Teens Girls Adults Kids,Laptop Car Cup Computer Guitar Skateboard Luggage Phone Aesthetic Stickers Pack"
4.8,179.99,Polaroid Originals Now Viewfinder i-Type Instant Camera (White) Bundle with Color and B and W Instant Film and Reusable Vintage Photo Accessory (4 Items)
4.7,63.33,HP Elitebook 8560W New Replacement LCD Screen for Laptop LED HD Matte
4.5,26.99,"May Chen Compatible with MacBook Pro 16 inch Case 2020 2019 Release A2141 with Touch Bar&Touch ID, Plastic Hard Shell Case with Keyboard Cover + Screen Protector, Abstract Leaves"
4.7,19.99,"Wenlaty Case Compatible with iPad 9th /8th /7th Generation Case(2021/2020/2019), Full Body Protective with Pencil Holder, Designed for iPad 10.2 Inch, Auto Sleep/Wake Cover, Sky Blue"
4.8,8.99,Centon Electronics Flash Memory Card (S1-SDHU1-32G)
4.7,109.99,"PNY 1TB PRO Elite Class 10 U3 V30 microSDXC Flash Memory Card - 100MB/s, Class 10, U3, V30, A2, 4K UHD, Full HD, UHS-I, micro SD"
4.7,79.9,JBL FLIP 5 - Waterproof Portable Bluetooth Speaker Made from 100% Recycled Plastic - Blue (Renewed)
5.0,10.99,"MHYALUDO Silicone Print Case Cover for Apple Airpods Pro 2nd Generation 2022 & 1st Generation 2019 Charging Case, Soft Earpods Case with keychain for Women with Airpods Pro Charging Case-White Leopard"
4.5,27.99,"SUPCASE UB Pro Series Case for iPad Pro 12.9 inch for 2020 Release only, Support Apple Pencil Charging with Built-in Screen Protector Full-Body Rugged Kickstand Protective Case (Black)"
4.6,8.99,"Nurse Stickers for Water Bottles and Laptop, Nursing Stickers for Nurse Students, Nurses, and Healthcare Workers, Waterproof, Reusable, No Residue Vinyl Decal Perfect Nurse Gift (108 Designs)"
4.6,14.88,13-15.6 Inch Laptop Sleeve Case Women Men Shoulder Bag Briefcase Messenger Bag Portable Handbag
4.8,18.95,CoBak Case for Kindle Paperwhite - All New PU Leather Cover with Auto Sleep Wake Feature for Kindle Paperwhite Signature Edition and Kindle Paperwhite 11th Generation 2021 Released
4.5,24.63,Adafruit FTDI Serial TTL-232 USB Cable [ADA70]
4.5,38.9,8x8ft Pink Rose Flower Theme Photography Backdrops 3D Pink Floral Newborn Kids Wedding Bridal Shower Photo Background Mother's Day Anniversary Ceremony Couple Photo Props Cake Table Banner
5.0,25.71,"Monsoon G1/4"" to 1/2"" ID, 3/4"" OD Chain Gun Compression Fitting for Soft Tubing, Chrome, 4-Pack"
